Date,Channel,Revenue,Spend,Campaign
2025-02-21,Google,0.0,0.0,Search_Campaign_01
2024-01-01,Google,549.98808538,46.98,Search_TM_Campaign_01
2024-01-02,Google,670.81681702,53.558564,Search_TM_Campaign_01
2024-01-03,Google,601.39843131,75.7,Search_TM_Campaign_01
2024-01-04,Google,1802.78762954,95.3,Search_TM_Campaign_01
2024-01-05,Google,1168.57615885,92.73,Search_TM_Campaign_01
2024-01-06,Google,1140.09175736,101.41,Search_TM_Campaign_01
2024-01-07,Google,501.0218567,119.81,Search_TM_Campaign_01
2024-01-08,Google,1304.8251472000002,135.03,Search_TM_Campaign_01
2024-01-09,Google,549.46462411,113.06,Search_TM_Campaign_01
2024-01-10,Google,824.36940512,105.65,Search_TM_Campaign_01
2024-01-11,Google,545.78077408,113.12,Search_TM_Campaign_01
2024-01-12,Google,1813.30443774,141.87,Search_TM_Campaign_01
2024-01-13,Google,413.73079936,118.89,Search_TM_Campaign_01
2024-01-14,Google,1300.8417844,133.22,Search_TM_Campaign_01
2024-01-15,Google,480.55188382,129.25,Search_TM_Campaign_01
2024-01-16,Google,757.6478475,138.03,Search_TM_Campaign_01
2024-01-17,Google,697.3311495,105.4,Search_TM_Campaign_01
2024-01-18,Google,1749.70629506,113.0,Search_TM_Campaign_01
2024-01-19,Google,3653.33440773,131.2,Search_TM_Campaign_01
2024-01-20,Google,1516.7422999,138.11,Search_TM_Campaign_01
2024-01-21,Google,976.1609816,139.65,Search_TM_Campaign_01
2024-01-22,Google,2170.99581085,180.72,Search_TM_Campaign_01
2024-01-23,Google,460.08066003,199.04,Search_TM_Campaign_01
2024-01-24,Google,252.03579731,112.97,Search_TM_Campaign_01
2024-01-25,Google,1846.90462648,122.46,Search_TM_Campaign_01
2024-01-26,Google,603.13312905,106.4,Search_TM_Campaign_01
2024-01-27,Google,811.22507663,128.62,Search_TM_Campaign_01
2024-01-28,Google,709.6063194300001,188.728528,Search_TM_Campaign_01
2024-01-29,Google,494.6980088,175.74,Search_TM_Campaign_01
2024-01-30,Google,691.78419312,172.69,Search_TM_Campaign_01
2024-01-31,Google,1344.3857963,116.7,Search_TM_Campaign_01
2024-02-01,Google,850.2611501199999,151.93,Search_TM_Campaign_01
2024-02-02,Google,914.89902739,128.73,Search_TM_Campaign_01
2024-02-03,Google,1280.22121759,190.47,Search_TM_Campaign_01
2024-02-04,Google,1495.60877113,150.67,Search_TM_Campaign_01
2024-02-05,Google,488.93693987,126.14,Search_TM_Campaign_01
2024-02-06,Google,901.40602411,186.05,Search_TM_Campaign_01
2024-02-07,Google,1688.75475935,152.58,Search_TM_Campaign_01
2024-02-08,Google,779.54730389,138.72,Search_TM_Campaign_01
2024-02-09,Google,768.47133128,116.84,Search_TM_Campaign_01
2024-02-10,Google,887.75295781,121.83,Search_TM_Campaign_01
2024-02-11,Google,642.15,132.1,Search_TM_Campaign_01
2024-02-12,Google,870.42388108,178.96,Search_TM_Campaign_01
2024-02-13,Google,581.3199999999999,132.29,Search_TM_Campaign_01
2024-02-14,Google,891.62504562,175.36,Search_TM_Campaign_01
2024-02-15,Google,1404.86679045,180.62,Search_TM_Campaign_01
2024-02-16,Google,506.11493496,125.88,Search_TM_Campaign_01
2024-02-17,Google,499.04834572,157.85,Search_TM_Campaign_01
2024-02-18,Google,898.70027368,134.02,Search_TM_Campaign_01
2024-02-19,Google,1232.8,151.77,Search_TM_Campaign_01
2024-02-20,Google,347.79683666,135.08,Search_TM_Campaign_01
2024-02-21,Google,685.7353141899999,116.42,Search_TM_Campaign_01
2024-02-22,Google,364.657514,116.12,Search_TM_Campaign_01
2024-02-23,Google,442.06628175,74.21,Search_TM_Campaign_01
2024-02-24,Google,533.21687761,109.49,Search_TM_Campaign_01
2024-02-25,Google,761.6899999999999,99.56,Search_TM_Campaign_01
2024-02-26,Google,1676.81321198,78.45,Search_TM_Campaign_01
2024-02-27,Google,2969.42532382,101.56,Search_TM_Campaign_01
2024-02-28,Google,683.79919688,122.38,Search_TM_Campaign_01
2024-02-29,Google,1214.6075,106.57,Search_TM_Campaign_01
2024-03-01,Google,623.30734338,147.15,Search_TM_Campaign_01
2024-03-02,Google,1691.7438179899998,141.28,Search_TM_Campaign_01
2024-03-03,Google,613.64,130.05,Search_TM_Campaign_01
2024-03-04,Google,1253.87615028,151.97,Search_TM_Campaign_01
2024-03-05,Google,1202.14,146.78,Search_TM_Campaign_01
2024-03-06,Google,2112.62,166.72,Search_TM_Campaign_01
2024-03-07,Google,561.05,123.01,Search_TM_Campaign_01
2024-03-08,Google,2177.66577472,139.94,Search_TM_Campaign_01
2024-03-09,Google,1779.580332,176.33,Search_TM_Campaign_01
2024-03-10,Google,466.51,179.99,Search_TM_Campaign_01
2024-03-11,Google,668.05652837,152.19,Search_TM_Campaign_01
2024-03-12,Google,415.52,161.43,Search_TM_Campaign_01
2024-03-13,Google,486.22086123,143.98,Search_TM_Campaign_01
2024-03-14,Google,967.2095732,154.64,Search_TM_Campaign_01
2024-03-15,Google,1145.7890018,142.16,Search_TM_Campaign_01
2024-03-16,Google,1077.22695157,125.31,Search_TM_Campaign_01
2024-03-17,Google,227.34489788,139.83,Search_TM_Campaign_01
2024-03-18,Google,305.9660244,152.72,Search_TM_Campaign_01
2024-03-19,Google,1115.33935155,154.55,Search_TM_Campaign_01
2024-03-20,Google,811.13471693,114.67,Search_TM_Campaign_01
2024-03-21,Google,2731.3645166,211.85,Search_TM_Campaign_01
2024-03-22,Google,2434.32097897,175.26,Search_TM_Campaign_01
2024-03-23,Google,1018.00964553,153.41,Search_TM_Campaign_01
2024-03-24,Google,2442.59203888,170.1,Search_TM_Campaign_01
2024-03-25,Google,674.49,139.92,Search_TM_Campaign_01
2024-03-26,Google,1144.70574492,133.34,Search_TM_Campaign_01
2024-03-27,Google,1475.6195834,125.584841,Search_TM_Campaign_01
2024-03-28,Google,413.57696781,146.05,Search_TM_Campaign_01
2024-03-29,Google,1668.86122225,160.37,Search_TM_Campaign_01
2024-03-30,Google,397.57,133.985973,Search_TM_Campaign_01
2024-03-31,Google,341.83539519,123.348148,Search_TM_Campaign_01
2024-04-01,Google,844.0353371799999,130.994909,Search_TM_Campaign_01
2024-04-02,Google,316.90204065,120.503483,Search_TM_Campaign_01
2024-04-03,Google,703.45127525,103.218211,Search_TM_Campaign_01
2024-04-04,Google,593.1771113,107.665333,Search_TM_Campaign_01
2024-04-05,Google,746.95,106.84,Search_TM_Campaign_01
2024-04-06,Google,1101.04331232,119.99,Search_TM_Campaign_01
2024-04-07,Google,2132.63791291,114.777142,Search_TM_Campaign_01
2024-04-08,Google,816.883752,102.679636,Search_TM_Campaign_01
2024-04-09,Google,259.27662132,75.62,Search_TM_Campaign_01
2024-04-10,Google,782.05582582,78.89015,Search_TM_Campaign_01
2024-04-11,Google,1535.75694215,124.995847,Search_TM_Campaign_01
2024-04-12,Google,653.0463103,116.032058,Search_TM_Campaign_01
2024-04-13,Google,436.71759712,101.122016,Search_TM_Campaign_01
2024-04-14,Google,591.73896397,121.432388,Search_TM_Campaign_01
2024-04-15,Google,695.9187903100001,102.46,Search_TM_Campaign_01
2024-04-16,Google,378.4,111.66,Search_TM_Campaign_01
2024-04-17,Google,116.25,122.937856,Search_TM_Campaign_01
2024-04-18,Google,2498.85,115.223237,Search_TM_Campaign_01
2024-04-19,Google,320.62,119.955,Search_TM_Campaign_01
2024-04-20,Google,258.43,97.517375,Search_TM_Campaign_01
2024-04-21,Google,505.34,130.21,Search_TM_Campaign_01
2024-04-22,Google,1565.7712421,120.81439,Search_TM_Campaign_01
2024-04-23,Google,532.93383152,176.191043,Search_TM_Campaign_01
2024-04-24,Google,2155.78703843,169.84,Search_TM_Campaign_01
2024-04-25,Google,783.04,204.09,Search_TM_Campaign_01
2024-04-26,Google,367.37,176.81,Search_TM_Campaign_01
2024-04-27,Google,298.54,147.06,Search_TM_Campaign_01
2024-04-28,Google,1065.93908738,148.925712,Search_TM_Campaign_01
2024-04-29,Google,358.2579057,168.67,Search_TM_Campaign_01
2024-04-30,Google,658.8803906,196.676275,Search_TM_Campaign_01
2024-05-01,Google,210.24,139.932911,Search_TM_Campaign_01
2024-05-02,Google,1387.00145134,181.42,Search_TM_Campaign_01
2024-05-03,Google,1136.485,251.93,Search_TM_Campaign_01
2024-05-04,Google,721.88,238.55783,Search_TM_Campaign_01
2024-05-05,Google,2006.89991015,210.84,Search_TM_Campaign_01
2024-05-06,Google,663.8199778400001,258.711333,Search_TM_Campaign_01
2024-05-07,Google,854.82791075,259.111153,Search_TM_Campaign_01
2024-05-08,Google,790.965,177.98,Search_TM_Campaign_01
2024-05-09,Google,633.16823904,260.052318,Search_TM_Campaign_01
2024-05-10,Google,351.51791075,229.343783,Search_TM_Campaign_01
2024-05-11,Google,760.9815617300001,255.787142,Search_TM_Campaign_01
2024-05-12,Google,579.91,205.344241,Search_TM_Campaign_01
2024-05-13,Google,622.025,218.48,Search_TM_Campaign_01
2024-05-14,Google,839.77097177,237.557,Search_TM_Campaign_01
2024-05-15,Google,1057.36,217.155,Search_TM_Campaign_01
2024-05-16,Google,466.16,163.672436,Search_TM_Campaign_01
2024-05-17,Google,865.6,210.99056,Search_TM_Campaign_01
2024-05-18,Google,599.94,194.874237,Search_TM_Campaign_01
2024-05-19,Google,207.6197609,229.644456,Search_TM_Campaign_01
2024-05-20,Google,1305.392468,217.67404,Search_TM_Campaign_01
2024-05-21,Google,392.25937253,218.73,Search_TM_Campaign_01
2024-05-22,Google,267.5,173.157172,Search_TM_Campaign_01
2024-05-23,Google,311.21,204.25,Search_TM_Campaign_01
2024-05-24,Google,636.0,174.89943,Search_TM_Campaign_01
2024-05-25,Google,0.0,187.319467,Search_TM_Campaign_01
2024-05-26,Google,89.85032232,234.283957,Search_TM_Campaign_01
2024-05-27,Google,5.16226484,213.926316,Search_TM_Campaign_01
2024-05-28,Google,71.37,217.53892,Search_TM_Campaign_01
2024-05-29,Google,294.32,177.4,Search_TM_Campaign_01
2024-05-30,Google,281.08,163.706,Search_TM_Campaign_01
2024-05-31,Google,297.98469112,149.99,Search_TM_Campaign_01
2024-06-01,Google,382.1,111.68,Search_TM_Campaign_01
2024-06-02,Google,1481.71,142.1,Search_TM_Campaign_01
2024-06-03,Google,543.1700000000001,109.33,Search_TM_Campaign_01
2024-06-04,Google,2118.61,105.85,Search_TM_Campaign_01
2024-06-05,Google,713.755128,99.8,Search_TM_Campaign_01
2024-06-06,Google,899.94,107.01,Search_TM_Campaign_01
2024-06-07,Google,1544.82,140.624062,Search_TM_Campaign_01
2024-06-08,Google,740.62,102.665641,Search_TM_Campaign_01
2024-06-09,Google,1297.24204818,129.696242,Search_TM_Campaign_01
2024-06-10,Google,531.78148576,162.906012,Search_TM_Campaign_01
2024-06-11,Google,399.65175,145.403407,Search_TM_Campaign_01
2024-06-12,Google,225.908887,124.33,Search_TM_Campaign_01
2024-06-13,Google,510.37,110.966079,Search_TM_Campaign_01
2024-06-14,Google,1577.98,119.141654,Search_TM_Campaign_01
