Future_Day,Predicted_Revenue,Lower_Bound,Upper_Bound
1,2502.9233,2252.63097,2753.21563
2,4397.206,3957.4854,4836.926600000001
3,4072.902,3665.6118,4480.1922
4,3994.477,3595.0293,4393.9247000000005
5,3884.703,3496.2327,4273.1733
6,4034.542,3631.0878,4437.9962000000005
7,3854.2756,3468.84804,4239.70316
8,3983.1555,3584.83995,4381.47105
9,4084.189,3675.7700999999997,4492.6079
10,3985.027,3586.5243,4383.5297
11,4084.1697,3675.75273,4492.586670000001
12,3884.703,3496.2327,4273.1733
13,4034.542,3631.0878,4437.9962000000005
14,3854.2756,3468.84804,4239.70316
15,3983.1555,3584.83995,4381.47105
16,4084.189,3675.7700999999997,4492.6079
17,3985.027,3586.5243,4383.5297
18,4084.1697,3675.75273,4492.586670000001
19,3884.703,3496.2327,4273.1733
20,4034.542,3631.0878,4437.9962000000005
21,3854.2756,3468.84804,4239.70316
22,3983.1555,3584.83995,4381.47105
23,4084.189,3675.7700999999997,4492.6079
24,3985.027,3586.5243,4383.5297
25,4084.1697,3675.75273,4492.586670000001
26,3884.703,3496.2327,4273.1733
27,4034.542,3631.0878,4437.9962000000005
28,3854.2756,3468.84804,4239.70316
29,3983.1555,3584.83995,4381.47105
30,4084.189,3675.7700999999997,4492.6079
